Company,
LICENCE,
Date,2019/08/28
Time,14:12:42
FileName,
Created_by,Version 4.4.0
Instrument_type,LT_EDGE_JR
Model_number,M5
Instrument_state,Stopped
Serial_number,2091461
Battery_level,67
Channel,2
Firmware,3.004
Project_ID,S2
Location,43
Latitude,0.000
Longtitude,0.000
Sample_rate,180000
Sample_mode,0
Event_ch,120
Event_threshold,999999.000000
Schedule,
Start_time,2019/06/06 11:32:07
Stop_time,2019/06/06 11:31:36
Num_log,3990
Identification,LEVEL
Unit,m
Parameters,"OrderedDict([('Offset', OrderedDict([('@Val', '0.000'), ('@Unit', 'm')]))])"
Identification,TEMPERATURE
Unit,°C
Parameters,
LogID,Date,Time,ms,LEVEL,TEMPERATURE
1,2019/06/06,11:32:07,0,9.783,26.70
2,2019/06/06,12:02:07,0,10.266,1.30
3,2019/06/06,12:32:07,0,10.266,1.00
4,2019/06/06,13:02:07,0,10.266,0.90
5,2019/06/06,13:32:07,0,10.263,0.90
6,2019/06/06,14:02:07,0,10.262,0.90
7,2019/06/06,14:32:07,0,10.260,0.80
8,2019/06/06,15:02:07,0,10.259,0.80
9,2019/06/06,15:32:07,0,10.256,0.80
10,2019/06/06,16:02:07,0,10.257,0.80
11,2019/06/06,16:32:07,0,10.256,0.80
12,2019/06/06,17:02:07,0,10.256,0.80
13,2019/06/06,17:32:07,0,10.254,0.80
14,2019/06/06,18:02:07,0,10.254,0.80
15,2019/06/06,18:32:07,0,10.254,0.80
16,2019/06/06,19:02:07,0,10.256,0.80
17,2019/06/06,19:32:07,0,10.257,0.80
18,2019/06/06,20:02:07,0,10.259,0.80
19,2019/06/06,20:32:07,0,10.260,0.80
20,2019/06/06,21:02:07,0,10.260,0.80
21,2019/06/06,21:32:07,0,10.263,0.80
22,2019/06/06,22:02:07,0,10.266,0.80
23,2019/06/06,22:32:07,0,10.266,0.80
24,2019/06/06,23:02:07,0,10.266,0.80
25,2019/06/06,23:32:07,0,10.265,0.80
26,2019/06/07,00:02:07,0,10.266,0.80
27,2019/06/07,00:32:07,0,10.266,0.80
28,2019/06/07,01:02:07,0,10.268,0.80
29,2019/06/07,01:32:07,0,10.268,0.80
30,2019/06/07,02:02:07,0,10.268,0.80
31,2019/06/07,02:32:07,0,10.268,0.80
32,2019/06/07,03:02:07,0,10.269,0.80
33,2019/06/07,03:32:07,0,10.269,0.80
34,2019/06/07,04:02:07,0,10.269,0.80
35,2019/06/07,04:32:07,0,10.269,0.80
36,2019/06/07,05:02:07,0,10.269,0.80
37,2019/06/07,05:32:07,0,10.271,0.80
38,2019/06/07,06:02:07,0,10.274,0.80
39,2019/06/07,06:32:07,0,10.275,0.80
40,2019/06/07,07:02:07,0,10.275,0.80
41,2019/06/07,07:32:07,0,10.274,0.80
42,2019/06/07,08:02:07,0,10.274,0.80
43,2019/06/07,08:32:07,0,10.272,0.80
44,2019/06/07,09:02:07,0,10.271,0.80
45,2019/06/07,09:32:07,0,10.269,0.80
46,2019/06/07,10:02:07,0,10.268,0.80
47,2019/06/07,10:32:07,0,10.268,0.80
48,2019/06/07,11:02:07,0,10.268,0.80
49,2019/06/07,11:32:07,0,10.265,0.80
50,2019/06/07,12:02:07,0,10.263,0.80
51,2019/06/07,12:32:07,0,10.262,0.80
52,2019/06/07,13:02:07,0,10.259,0.80
53,2019/06/07,13:32:07,0,10.254,0.80
54,2019/06/07,14:02:07,0,10.253,0.80
55,2019/06/07,14:32:07,0,10.251,0.80
56,2019/06/07,15:02:07,0,10.248,0.80
57,2019/06/07,15:32:07,0,10.247,0.80
58,2019/06/07,16:02:07,0,10.245,0.80
59,2019/06/07,16:32:07,0,10.245,0.80
60,2019/06/07,17:02:07,0,10.244,0.80
61,2019/06/07,17:32:07,0,10.242,0.80
62,2019/06/07,18:02:07,0,10.244,0.80
63,2019/06/07,18:32:07,0,10.245,0.80
64,2019/06/07,19:02:07,0,10.244,0.80
65,2019/06/07,19:32:07,0,10.244,0.80
66,2019/06/07,20:02:07,0,10.245,0.80
67,2019/06/07,20:32:07,0,10.247,0.80
68,2019/06/07,21:02:07,0,10.247,0.80
69,2019/06/07,21:32:07,0,10.250,0.80
70,2019/06/07,22:02:07,0,10.251,0.80
71,2019/06/07,22:32:07,0,10.254,0.80
72,2019/06/07,23:02:07,0,10.256,0.80
73,2019/06/07,23:32:07,0,10.259,0.80
74,2019/06/08,00:02:07,0,10.262,0.80
75,2019/06/08,00:32:07,0,10.262,0.80
76,2019/06/08,01:02:07,0,10.260,0.80
77,2019/06/08,01:32:07,0,10.262,0.80
78,2019/06/08,02:02:07,0,10.262,0.80
79,2019/06/08,02:32:07,0,10.265,0.80
80,2019/06/08,03:02:07,0,10.269,0.80
81,2019/06/08,03:32:07,0,10.269,0.80
82,2019/06/08,04:02:07,0,10.269,0.80
83,2019/06/08,04:32:07,0,10.269,0.80
84,2019/06/08,05:02:07,0,10.269,0.80
85,2019/06/08,05:32:07,0,10.271,0.80
86,2019/06/08,06:02:07,0,10.272,0.80
87,2019/06/08,06:32:07,0,10.274,0.80
88,2019/06/08,07:02:07,0,10.272,0.80
89,2019/06/08,07:32:07,0,10.271,0.80
90,2019/06/08,08:02:07,0,10.277,0.80
91,2019/06/08,08:32:07,0,10.274,0.80
