Company,
LICENCE,
Date,2019/08/28
Time,14:19:25
FileName,
Created_by,Version 4.4.0
Instrument_type,LT_EDGE_JR
Model_number,M5
Instrument_state,Stopped
Serial_number,2091499
Battery_level,67
Channel,2
Firmware,3.004
Project_ID,S2
Location,42
Latitude,0.000
Longtitude,0.000
Sample_rate,180000
Sample_mode,0
Event_ch,0
Event_threshold,0.000000
Schedule,
Start_time,2019/06/06 11:39:21
Stop_time,2019/06/06 11:38:57
Num_log,3990
Identification,LEVEL
Unit,m
Parameters,"OrderedDict([('Offset', OrderedDict([('@Val', '0.000'), ('@Unit', 'm')]))])"
Identification,TEMPERATURE
Unit,°C
Parameters,
LogID,Date,Time,ms,LEVEL,TEMPERATURE
1,2019/06/06,11:39:21,0,9.792,27.20
2,2019/06/06,12:09:21,0,10.586,1.90
3,2019/06/06,12:39:21,0,10.587,1.60
4,2019/06/06,13:09:21,0,10.589,1.50
5,2019/06/06,13:39:21,0,10.586,1.50
6,2019/06/06,14:09:21,0,10.583,1.40
7,2019/06/06,14:39:21,0,10.581,1.40
8,2019/06/06,15:09:21,0,10.581,1.40
9,2019/06/06,15:39:21,0,10.581,1.40
10,2019/06/06,16:09:21,0,10.580,1.40
11,2019/06/06,16:39:21,0,10.580,1.40
12,2019/06/06,17:09:21,0,10.578,1.40
13,2019/06/06,17:39:21,0,10.578,1.40
14,2019/06/06,18:09:21,0,10.578,1.40
15,2019/06/06,18:39:21,0,10.578,1.40
16,2019/06/06,19:09:21,0,10.580,1.40
17,2019/06/06,19:39:21,0,10.581,1.40
18,2019/06/06,20:09:21,0,10.583,1.40
19,2019/06/06,20:39:21,0,10.584,1.40
20,2019/06/06,21:09:21,0,10.586,1.40
21,2019/06/06,21:39:21,0,10.587,1.40
22,2019/06/06,22:09:21,0,10.590,1.40
23,2019/06/06,22:39:21,0,10.592,1.40
24,2019/06/06,23:09:21,0,10.592,1.40
25,2019/06/06,23:39:21,0,10.590,1.40
26,2019/06/07,00:09:21,0,10.590,1.40
27,2019/06/07,00:39:21,0,10.590,1.40
28,2019/06/07,01:09:21,0,10.592,1.40
29,2019/06/07,01:39:21,0,10.592,1.40
30,2019/06/07,02:09:21,0,10.592,1.40
31,2019/06/07,02:39:21,0,10.592,1.40
32,2019/06/07,03:09:21,0,10.595,1.40
33,2019/06/07,03:39:21,0,10.593,1.40
34,2019/06/07,04:09:21,0,10.595,1.40
35,2019/06/07,04:39:21,0,10.595,1.40
36,2019/06/07,05:09:21,0,10.596,1.40
37,2019/06/07,05:39:21,0,10.596,1.40
38,2019/06/07,06:09:21,0,10.599,1.40
39,2019/06/07,06:39:21,0,10.599,1.40
40,2019/06/07,07:09:21,0,10.599,1.40
41,2019/06/07,07:39:21,0,10.599,1.40
42,2019/06/07,08:09:21,0,10.599,1.40
43,2019/06/07,08:39:21,0,10.598,1.40
44,2019/06/07,09:09:21,0,10.596,1.40
45,2019/06/07,09:39:21,0,10.595,1.40
46,2019/06/07,10:09:21,0,10.592,1.40
47,2019/06/07,10:39:21,0,10.593,1.40
48,2019/06/07,11:09:21,0,10.592,1.40
49,2019/06/07,11:39:21,0,10.590,1.40
50,2019/06/07,12:09:21,0,10.589,1.40
51,2019/06/07,12:39:21,0,10.586,1.40
52,2019/06/07,13:09:21,0,10.583,1.40
53,2019/06/07,13:39:21,0,10.581,1.40
54,2019/06/07,14:09:21,0,10.580,1.40
55,2019/06/07,14:39:21,0,10.575,1.40
56,2019/06/07,15:09:21,0,10.574,1.40
57,2019/06/07,15:39:21,0,10.572,1.40
58,2019/06/07,16:09:21,0,10.571,1.40
59,2019/06/07,16:39:21,0,10.569,1.40
60,2019/06/07,17:09:21,0,10.569,1.40
61,2019/06/07,17:39:21,0,10.568,1.40
62,2019/06/07,18:09:21,0,10.569,1.40
63,2019/06/07,18:39:21,0,10.569,1.40
64,2019/06/07,19:09:21,0,10.569,1.40
65,2019/06/07,19:39:21,0,10.569,1.40
66,2019/06/07,20:09:21,0,10.569,1.40
67,2019/06/07,20:39:21,0,10.572,1.40
68,2019/06/07,21:09:21,0,10.574,1.40
69,2019/06/07,21:39:21,0,10.575,1.40
70,2019/06/07,22:09:21,0,10.577,1.40
71,2019/06/07,22:39:21,0,10.580,1.40
72,2019/06/07,23:09:21,0,10.583,1.40
73,2019/06/07,23:39:21,0,10.586,1.40
74,2019/06/08,00:09:21,0,10.587,1.40
75,2019/06/08,00:39:21,0,10.586,1.40
76,2019/06/08,01:09:21,0,10.586,1.40
77,2019/06/08,01:39:21,0,10.586,1.40
78,2019/06/08,02:09:21,0,10.589,1.40
79,2019/06/08,02:39:21,0,10.592,1.40
80,2019/06/08,03:09:21,0,10.595,1.40
81,2019/06/08,03:39:21,0,10.595,1.40
82,2019/06/08,04:09:21,0,10.595,1.40
83,2019/06/08,04:39:21,0,10.595,1.40
84,2019/06/08,05:09:21,0,10.595,1.40
85,2019/06/08,05:39:21,0,10.598,1.40
86,2019/06/08,06:09:21,0,10.598,1.40
87,2019/06/08,06:39:21,0,10.599,1.40
88,2019/06/08,07:09:21,0,10.598,1.40
89,2019/06/08,07:39:21,0,10.598,1.40
90,2019/06/08,08:09:21,0,10.602,1.40
91,2019/06/08,08:39:21,0,10.601,1.40
92,2019/06/08,09:09:21,0,10.599,1.40
93,2019/06/08,09:39:21,0,10.598,1.40
94,2019/06/08,10:09:21,0,10.598,1.40
